MH687978.1 Betacoronavirus sp. strain VZ_BetaCoV_22084_6, complete genome
KX534206.1 Porcine epidemic diarrhea virus isolate JS-2/2015, complete genome
KX534205.1 Porcine epidemic diarrhea virus isolate JSLS-1/2015, complete genome
KX344031.1 Human coronavirus OC43 isolate LRTI_238, complete genome
KT368860.1 Middle East respiratory syndrome coronavirus isolate camel/Jeddah/Jd6(b)/2015, complete genome
KT253328.1 Camel alphacoronavirus Camel229E isolate Camel229E-CoV/JC50_HUH7/KSA/2014, complete genome
KT253327.1 Camel alphacoronavirus Camel229E isolate Camel229E-CoV/AC04/KSA/2014, complete genome
KT253326.1 Camel alphacoronavirus Camel229E isolate Camel229E-CoV/JC52/KSA/2014, complete genome
KT253325.1 Camel alphacoronavirus Camel229E isolate Camel229E-CoV/JC49/KSA/2014, complete genome
KT253324.1 Camel alphacoronavirus Camel229E isolate Camel229E-CoV/JC50/KSA/2014, complete genome
KU291449.1 Camel alphacoronavirus Camel229E isolate Camel229E-CoV/KCSP1/KEN/2015, complete genome
KU291448.1 Human coronavirus 229E isolate HCoV-229E/BN1/GER/2015, complete genome
KU762338.1 Rousettus bat coronavirus isolate GCCDC1 356, complete genome
KU664503.1 Porcine epidemic diarrhea virus isolate ZJU/G1/2013, complete genome
KU710265.1 Middle East respiratory syndrome coronavirus isolate Hu/Taif/KSA-7032/2014/S530del, complete genome
KU710264.1 Middle East respiratory syndrome coronavirus isolate Hu/Taif/KSA-7032/2014, complete genome
KX258195.1 Avian coronavirus isolate 23/2013, complete genome
FJ425190.1 Sambar deer coronavirus US/OH-WD388-TC/1994 calf-passaged, complete genome
FJ425189.1 Sambar deer coronavirus US/OH-WD388/1994, complete genome
FJ425188.1 Sambar deer coronavirus US/OH-WD388-TC/1994, complete genome
FJ425187.1 White-tailed deer coronavirus US/OH-WD470/1994, complete genome
FJ425186.1 Waterbuck coronavirus US/OH-WD358/1994, complete genome
FJ425185.1 Waterbuck coronavirus US/OH-WD358-GnC/1994, complete genome
FJ425184.1 Waterbuck coronavirus US/OH-WD358-TC/1994, complete genome
DQ443743.1 Transmissible gastroenteritis virus strain SC-Y, complete genome
DQ201447.1 Transmissible gastroenteritis virus strain TS, complete genome
HQ462571.1 Transmissible gastroenteritis virus strain WH-1, complete genome
HM245924.1 Infectious bronchitis virus isolate CQ04-1, complete genome
HM245923.1 Infectious bronchitis virus isolate DY07, complete genome
AY348314.1 SARS coronavirus Taiwan TC3, complete genome
AY338175.1 SARS coronavirus Taiwan TC2, complete genome
AY338174.1 SARS coronavirus Taiwan TC1, complete genome
AY278741.1 SARS coronavirus Urbani, complete genome
FJ755618.2 Transmissible gastroenteritis virus strain H16, complete genome
EU074218.2 Transmissible gastroenteritis virus strain attenuated H, complete genome
FJ884687.1 Murine hepatitis virus strain A59 B12 variant, complete genome
FJ884686.1 Murine hepatitis virus strain A59 B11 variant, complete genome
FJ647227.1 Murine coronavirus repJHM/RA59, complete genome
FJ647226.1 Murine coronavirus MHV-JHM.IA, complete genome
FJ647225.1 Murine coronavirus inf-MHV-A59, complete genome
FJ647224.1 Murine coronavirus MHV-3, complete genome
FJ647223.1 Murine coronavirus MHV-1, complete genome
FJ647222.1 Murine coronavirus SA59/RJHM, complete genome
FJ647221.1 Murine coronavirus repA59/RJHM, complete genome
FJ647220.1 Murine coronavirus RA59/SJHM, complete genome
FJ647219.1 Murine coronavirus RJHM/A, complete genome
FJ647218.1 Murine coronavirus RA59/R13, complete genome
EF424624.1 Calf-giraffe coronavirus US/OH3/2006, complete genome
EF424623.1 Giraffe coronavirus US/OH3/2003, complete genome
EF424622.1 Giraffe coronavirus US/OH3-TC/2006, complete genome
EF424621.1 Sable antelope coronavirus US/OH1/2003, complete genome
EF424620.1 Bovine coronavirus R-AH187, complete genome
EF424619.1 Bovine coronavirus E-AH187, complete genome
EF424618.1 Bovine coronavirus R-AH65-TC, complete genome
EF424617.1 Bovine coronavirus R-AH65, complete genome
EF424616.1 Bovine coronavirus E-AH65-TC, complete genome
EF424615.1 Bovine coronavirus E-AH65, complete genome
DQ811788.1 TGEV Purdue P115, complete genome
DQ811787.1 PRCV ISU-1, complete genome
DQ811785.1 TGEV Miller M6, complete genome
KM975741.1 Porcine epidemic diarrhea virus strain USA/MO/2014/03293, complete genome
KM975740.1 Porcine epidemic diarrhea virus strain USA/IL/2013/59573-5, complete genome
KM975739.1 Porcine epidemic diarrhea virus strain USA/IA/2013/20849, complete genome
KM975738.1 Porcine epidemic diarrhea virus strain USA/IA/2013/19321, complete genome
KU361188.1 Infectious bronchitis virus isolate CK/CH/2014/QL1403, complete genome
KU361187.1 Infectious bronchitis virus isolate CK/CH/2010/JT-1, complete genome
KJ435286.1 Infectious bronchitis virus strain ck/CH/LSD/1112150, complete genome
KJ435285.1 Infectious bronchitis virus strain ck/CH/LSD/121228, complete genome
KJ435284.1 Infectious bronchitis virus strain ck/CH/LSD/111241, complete genome
KJ435283.1 Infectious bronchitis virus strain ck/CH/LSD/111219, complete genome
KJ425512.1 Infectious bronchitis virus strain ck/CH/LSD/110726, complete genome
KJ425511.1 Infectious bronchitis virus strain ck/CH/LSD/110529, complete genome
KJ425510.1 Infectious bronchitis virus strain ck/CH/LSD/110505, complete genome
KJ425509.1 Infectious bronchitis virus strain ck/CH/LJL/121059, complete genome
KJ425508.1 Infectious bronchitis virus strain ck/CH/LHN/090909, complete genome
KJ425507.1 Infectious bronchitis virus strain ck/CH/LHLJ/131216, complete genome
KJ425506.1 Infectious bronchitis virus strain ck/CH/LHLJ/111050, complete genome
KJ425505.1 Infectious bronchitis virus strain ck/CH/LHLJ/110310, complete genome
KJ425504.1 Infectious bronchitis virus strain ck/CH/LHLJ/091205, complete genome
KJ425503.1 Infectious bronchitis virus strain ck/CH/LHLJ/090908, complete genome
KJ425502.1 Infectious bronchitis virus strain ck/CH/LHB/131143, complete genome
KJ425501.1 Infectious bronchitis virus strain ck/CH/LHB/131142, complete genome
KJ425500.1 Infectious bronchitis virus strain ck/CH/LHB/131132, complete genome
KJ425499.1 Infectious bronchitis virus strain ck/CH/LHB/131118, complete genome
KJ425498.1 Infectious bronchitis virus strain ck/CH/LHB/130642, complete genome
KJ425497.1 Infectious bronchitis virus strain ck/CH/LHB/130598, complete genome
KJ425496.1 Infectious bronchitis virus strain ck/CH/LHB/130573, complete genome
KJ425495.1 Infectious bronchitis virus strain ck/CH/LHB/121040, complete genome
KJ425494.1 Infectious bronchitis virus strain ck/CH/LHB/121024, complete genome
KJ425493.1 Infectious bronchitis virus strain ck/CH/LHB/120749, complete genome
KJ425492.1 Infectious bronchitis virus strain ck/CH/LHB/120403, complete genome
KJ425491.1 Infectious bronchitis virus strain ck/CH/LHB/111268, complete genome
KJ425490.1 Infectious bronchitis virus strain ck/CH/LHB/111232, complete genome
KJ425489.1 Infectious bronchitis virus strain ck/CH/LHB/111172, complete genome
KJ425488.1 Infectious bronchitis virus strain ck/CH/LHB/110825, complete genome
KJ425487.1 Infectious bronchitis virus strain ck/CH/LHB/110526, complete genome
KJ425486.1 Infectious bronchitis virus strain ck/CH/LDL/120557, complete genome
KJ425485.1 Infectious bronchitis virus strain ck/CH/LDL/110931, complete genome
KU851864.1 Middle East respiratory syndrome coronavirus isolate Hu/Riyadh-KSA-16098/2015, complete genome
KU851863.1 Middle East respiratory syndrome coronavirus isolate Hu/Riyadh-KSA-16077/2015, complete genome
KU851862.1 Middle East respiratory syndrome coronavirus isolate Hu/Riyadh-KSA-16117/2015, complete genome
KU851861.1 Middle East respiratory syndrome coronavirus isolate Hu/Riyadh-KSA-16120/2015, complete genome
KU851860.1 Middle East respiratory syndrome coronavirus isolate Hu/Riyadh-KSA-16121/2015, complete genome
KU851859.1 Middle East respiratory syndrome coronavirus isolate Hu/Jeddah-KSA-3RS2702/2015, complete genome
KX022605.1 Porcine deltacoronavirus strain PDCoV/USA/Nebraska145/2015, complete genome
KX022604.1 Porcine deltacoronavirus strain PDCoV/USA/Nebraska137/2015, complete genome
KX022603.1 Porcine deltacoronavirus strain PDCoV/USA/Minnesota140/2015, complete genome
KX022602.1 Porcine deltacoronavirus strain PDCoV/USA/Iowa136/2015, complete genome
KU886219.1 Bovine coronavirus strain BCV-AKS-01, complete genome
KU317090.1 Infectious bronchitis virus strain SAIBK2, complete genome
KU982981.1 Porcine epidemic diarrhea virus strain PEDV/USA/Minnesota124/2015, complete genome
KU982980.1 Porcine epidemic diarrhea virus strain PEDV/USA/Minnesota125/2015, complete genome
KU982979.1 Porcine epidemic diarrhea virus strain PEDV/USA/Minnesota131/2015, complete genome
KU982978.1 Porcine epidemic diarrhea virus strain PEDV/USA/Nebraska108/2015, complete genome
KU982977.1 Porcine epidemic diarrhea virus strain PEDV/USA/Texas132/2015, complete genome
KU982976.1 Porcine epidemic diarrhea virus strain PEDV/USA/Texas128/2015, complete genome
KU982975.1 Porcine epidemic diarrhea virus strain PEDV/USA/Missouri130/2015, complete genome
KU982974.1 Porcine epidemic diarrhea virus strain PEDV/USA/Minnesota123/2015, complete genome
KU982973.1 Porcine epidemic diarrhea virus strain PEDV/USA/Minnesota135/2015, complete genome
KU982972.1 Porcine epidemic diarrhea virus strain PEDV/USA/Minnesota129/2015, complete genome
KU982971.1 Porcine epidemic diarrhea virus strain PEDV/USA/Minnesota4/2015, complete genome
KU982970.1 Porcine epidemic diarrhea virus strain PEDV/USA/NorthDakota93/2015, complete genome
KU982969.1 Porcine epidemic diarrhea virus strain PEDV/USA/Iowa127/2015, complete genome
KU982968.1 Porcine epidemic diarrhea virus strain PEDV/USA/Oklahoma133/2015, complete genome
KU982967.1 Porcine epidemic diarrhea virus strain PEDV/USA/Kansas126/2015, complete genome
KU982966.1 Porcine epidemic diarrhea virus strain PEDV/USA/Texas134/2015, complete genome
KU558923.1 Betacoronavirus 1 isolate Buffalo coronavirus B1-28F, complete genome
KU558922.1 Betacoronavirus 1 isolate Buffalo coronavirus B1-24F, complete genome
KU356856.1 Infectious bronchitis virus strain ck/CH/SCYB/140913, complete genome
KU984334.1 Porcine deltacoronavirus isolate TT_1115, complete genome
KM347965.1 Ferret coronavirus isolate FRCoV-NL-2010, complete genome
KR095279.1 Porcine epidemic diarrhea virus strain CH/HNQX-3/14, complete genome
KT323980.1 Porcine epidemic diarrhea virus strain LNCT2, complete genome
KT323979.1 Porcine epidemic diarrhea virus strain CV777, complete genome
KX064280.1 Porcine epidemic diarrhea virus isolate SD2014, complete genome
JQ065043.2 Porcine coronavirus HKU15 strain HKU15-155, complete genome
JQ065042.2 Porcine coronavirus HKU15 strain HKU15-44, complete genome
KU252649.1 Porcine epidemic diarrhea virus strain YC2014, complete genome
KX034100.1 Middle East respiratory syndrome coronavirus isolate MERS-CoV/KOR/Seoul/177-3-2015, complete genome
KX034099.1 Middle East respiratory syndrome coronavirus isolate MERS-CoV/KOR/Seoul/169-2015, complete genome
KX034098.1 Middle East respiratory syndrome coronavirus isolate MERS-CoV/KOR/Seoul/162-1-2015, complete genome
KX034097.1 Middle East respiratory syndrome coronavirus isolate MERS-CoV/KOR/Seoul/080-3-2015, complete genome
KX034096.1 Middle East respiratory syndrome coronavirus isolate MERS-CoV/KOR/Seoul/077-2-2015, complete genome
KX034095.1 Middle East respiratory syndrome coronavirus isolate MERS-CoV/KOR/Seoul/066-2015, complete genome
KX034094.1 Middle East respiratory syndrome coronavirus isolate MERS-CoV/KOR/Seoul/050-1-2015, complete genome
KU297956.1 Porcine epidemic diarrhea virus strain SLO/JH-11/2015, complete genome
KU981062.1 Porcine deltacoronavirus strain NH isolate passage 10, complete genome
KU981061.1 Porcine deltacoronavirus strain NH isolate passage 5, complete genome
KU981060.1 Porcine deltacoronavirus strain NH isolate passage 0, complete genome
KU981059.1 Porcine deltacoronavirus strain NH, complete genome
KU569509.1 Porcine epidemic diarrhea virus strain COL/Cundinamarca/2014 from Colombia, complete genome
KU182965.1 Bat coronavirus isolate JPDB144, complete genome
KU182964.1 Bat coronavirus isolate JTMC15, complete genome
KU646831.1 Porcine epidemic diarrhea virus isolate AH2012/12, complete genome
KJ584361.1 Porcine epidemic diarrhea virus strain OH15962, complete genome
KP209313.1 Middle East respiratory syndrome coronavirus strain Abu Dhabi_UAE_26_2014, complete genome
KP209312.1 Middle East respiratory syndrome coronavirus strain Abu Dhabi_UAE_9_2013, complete genome
KP209311.1 Middle East respiratory syndrome coronavirus strain Abu Dhabi_UAE_33_2014, complete genome
KP209310.1 Middle East respiratory syndrome coronavirus strain Abu Dhabi/Gayathi_UAE_2_2014, complete genome
KP209309.1 Middle East respiratory syndrome coronavirus strain Abu Dhabi_UAE_30_2014, complete genome
KP209308.1 Middle East respiratory syndrome coronavirus strain Abu Dhabi_UAE_16_2014, complete genome
KP209307.1 Middle East respiratory syndrome coronavirus strain Abu Dhabi_UAE_18_2014, complete genome
KP209306.1 Middle East respiratory syndrome coronavirus strain Abu Dhabi_UAE_8_2014, complete genome
KT946798.1 Infectious bronchitis virus strain CK/CH/GD/GZ14, complete genome
KU380331.1 Porcine epidemic diarrhea virus isolate CH-SD01, complete genome
KF761675.1 Porcine epidemic diarrhea virus strain CH/YNKM-8/2013, complete genome
DQ022305.2 Bat SARS coronavirus HKU3-1, complete genome
DQ084200.1 bat SARS coronavirus HKU3-3, complete genome
DQ084199.1 bat SARS coronavirus HKU3-2, complete genome
AY567487.2 Human Coronavirus NL63, complete genome
AF391542.1 Bovine coronavirus isolate BCoV-LUN, complete genome
AF220295.1 Bovine coronavirus strain Quebec, complete genome
AF391541.1 Bovine coronavirus isolate BCoV-ENT, complete genome
AF353511.1 Porcine epidemic diarrhea virus strain CV777, complete genome
AF208067.1 Murine hepatitis virus strain ML-10, complete genome
AF208066.1 Murine hepatitis virus strain Penn 97-1, complete genome
AF201929.1 Murine hepatitis virus strain 2, complete genome
AF029248.1 Mouse hepatitis virus strain MHV-A59 C12 mutant, complete genome
KU308549.1 Middle East respiratory syndrome coronavirus isolate Korea/Seoul/SNU1-035/2015, complete genome
KT026456.1 Middle East respiratory syndrome coronavirus isolate Hu/Riyadh_KSA_4050_2015, complete genome
KT026455.1 Middle East respiratory syndrome coronavirus isolate Hu/Riyadh_KSA_2959_2015, complete genome
KT026454.1 Middle East respiratory syndrome coronavirus strain Hu/Riyadh_KSA_4050_2015, complete genome
KT026453.1 Middle East respiratory syndrome coronavirus strain Hu/Riyadh_KSA_2959_2015, complete genome
KU051649.1 Porcine deltacoronavirus strain PDCoV/Swine/Thailand/S5015L/2015, complete genome
KU051641.1 Porcine deltacoronavirus strain PDCoV/Swine/Thailand/S5011/2015, complete genome
KT779556.1 Human coronavirus HKU1 isolate BJ01-p9, complete genome
KT779555.1 Human coronavirus HKU1 isolate BJ01-p3, complete genome
KT374057.1 Middle East respiratory syndrome coronavirus isolate KOREA/Seoul/168-2-2015, complete genome
KT374056.1 Middle East respiratory syndrome coronavirus isolate KOREA/Seoul/168-1-2015, complete genome
KT374055.1 Middle East respiratory syndrome coronavirus isolate KOREA/Seoul/035-2-2015, complete genome
KT374054.1 Middle East respiratory syndrome coronavirus isolate KOREA/Seoul/035-1-2015, complete genome
KT374053.1 Middle East respiratory syndrome coronavirus isolate KOREA/Seoul/014-2-2015, complete genome
KT374052.1 Middle East respiratory syndrome coronavirus isolate KOREA/Seoul/014-1-2015, complete genome
KT374051.1 Middle East respiratory syndrome coronavirus isolate KOREA/Seoul/163-1-2015, complete genome
KT374050.1 Middle East respiratory syndrome coronavirus isolate KOREA/Seoul/163-2-2015, complete genome
KR078300.1 Porcine epidemic diarrhea virus strain PC177, complete genome
KR265865.1 Porcine deltacoronavirus strain USA/Iowa459/2014, complete genome
KR265864.1 Porcine deltacoronavirus strain USA/Minnesota292/2014, complete genome
KR265863.1 Porcine deltacoronavirus strain USA/Ohio445/2014, complete genome
KR265862.1 Porcine deltacoronavirus strain USA/Ohio444/2014, complete genome
KR265861.1 Porcine deltacoronavirus strain USA/Nebraska210/2014, complete genome
KR265860.1 Porcine deltacoronavirus strain USA/Nebraska209/2014, complete genome
KR265859.1 Porcine deltacoronavirus strain USA/Minnesota159/2014, complete genome
KR265858.1 Porcine deltacoronavirus strain USA/NorthCarolina452/2014, complete genome
KR265857.1 Porcine deltacoronavirus strain USA/Illinois273/2014, complete genome
KR265856.1 Porcine deltacoronavirus strain USA/Illinois272/2014, complete genome
KR265855.1 Porcine deltacoronavirus strain USA/Minnesota455/2014, complete genome
KR265854.1 Porcine deltacoronavirus strain USA/Minnesota454/2014, complete genome
KR265853.1 Porcine deltacoronavirus strain USA/Minnesota/2013, complete genome
KR265852.1 Porcine deltacoronavirus strain USA/Illinois449/2014, complete genome
KR265851.1 Porcine deltacoronavirus strain USA/Indiana453/2014, complete genome
KR265850.1 Porcine deltacoronavirus strain USA/Michigan448/2014, complete genome
KR265849.1 Porcine deltacoronavirus strain USA/Michigan447/2014, complete genome
KR265848.1 Porcine deltacoronavirus strain USA/Minnesota214/2014, complete genome
KR265847.1 Porcine deltacoronavirus strain USA/Minnesota442/2014, complete genome
KR150443.1 Porcine deltacoronavirus strain USA/Arkansas61/2015, complete genome
KT941120.1 Porcine epidemic diarrhea virus strain HUA-14PED96, complete genome
KU729220.1 Transmissible gastroenteritis virus strain TH-98, complete genome
KU131570.1 Human coronavirus OC43 strain HCoV-OC43/UK/London/2011, complete genome
KT736032.1 Infectious bronchitis virus isolate ckCHLDL150434-II, complete genome
KT736031.1 Infectious bronchitis virus isolate ck/CH/LDL/150434-I, complete genome
KR608272.1 Infectious bronchitis virus isolate LDT3-A, complete genome
KT852992.1 Infectious bronchitis virus isolate tl/CH/LDT3/03, complete genome
KU215428.1 Feline coronavirus isolate Cat3_day28_withoutdeletion, complete genome
KU215427.1 Feline coronavirus isolate Cat3_day28_deletion, complete genome
KU215426.1 Feline coronavirus isolate Cat2_day84, complete genome
KU215425.1 Feline coronavirus isolate Cat1_day28_withoutdeletion, complete genome
KU215424.1 Feline coronavirus isolate Cat1_day28_deletion, complete genome
KU215423.1 Feline coronavirus isolate Cat3_day9, complete genome
KU215422.1 Feline coronavirus isolate Cat2_day21_withoutdeletion, complete genome
KU215421.1 Feline coronavirus isolate Cat2_day21_deletion, complete genome
KU215420.1 Feline coronavirus isolate Cat1_day7, complete genome
KU215419.1 Feline coronavirus isolate inoculum, complete genome
KT860508.1 Porcine epidemic diarrhea virus strain USA/IL20697/2014 Passage 5, complete genome
KT696544.1 Transmissible gastroenteritis virus strain JS2012, complete genome
KM975737.1 Porcine epidemic diarrhea virus strain USA/NC/2013/49469, complete genome
KM975736.1 Porcine epidemic diarrhea virus strain USA/IA/2013/49379, complete genome
KM975735.1 Porcine epidemic diarrhea virus strain USA/NC/2013/35140, complete genome
KT806055.1 Middle East respiratory syndrome coronavirus isolate Hu/Jeddah-KSA-C20860/2015, complete genome
KT806054.1 Middle East respiratory syndrome coronavirus isolate Hu/Najran-KSA-C20915/2015, complete genome
KT806053.1 Middle East respiratory syndrome coronavirus isolate Hu/Kharj-KSA-2598/2015, complete genome
KT806052.1 Middle East respiratory syndrome coronavirus isolate Hu/Kharj-KSA-2599/2015, complete genome
KT806051.1 Middle East respiratory syndrome coronavirus isolate Hu/Riyadh-KSA-2716/2015, complete genome
KT806049.1 Middle East respiratory syndrome coronavirus isolate Hu/Riyadh-KSA-3181/2015, complete genome
KT806048.1 Middle East respiratory syndrome coronavirus isolate Hu/Khobar-KSA-6736/2015, complete genome
KT806047.1 Middle East respiratory syndrome coronavirus isolate Hu/Hufuf-KSA-9158/2015, complete genome
KT806046.1 Middle East respiratory syndrome coronavirus isolate Hu/Hufuf-KSA-11002/2015, complete genome
KT806045.1 Middle East respiratory syndrome coronavirus isolate Hu/Jeddah-KSA-C21271/2015, complete genome
KT806044.1 Middle East respiratory syndrome coronavirus isolate Hu/Jeddah-KSA-C20843/2015, complete genome
KT444582.1 SARS-like coronavirus WIV16, complete genome
KR265846.1 Porcine epidemic diarrhea virus strain USA/Missouri270/2014 from USA, complete genome
KR265845.1 Porcine epidemic diarrhea virus strain USA/Oklahoma466/2014 from USA, complete genome
KR265844.1 Porcine epidemic diarrhea virus strain USA/Missouri373/2014 from USA, complete genome
KR265843.1 Porcine epidemic diarrhea virus strain USA/Minnesota372/2014 from USA, complete genome
KR265842.1 Porcine epidemic diarrhea virus strain USA/Minnesota409/2014 from USA, complete genome
KR265841.1 Porcine epidemic diarrhea virus strain USA/Minnesota408/2014 from USA, complete genome
KR265840.1 Porcine epidemic diarrhea virus strain USA/Ohio249/2014 from USA, complete genome
KR265834.1 Porcine epidemic diarrhea virus strain USA/Texas435/2014 from USA, complete genome
KR265833.1 Porcine epidemic diarrhea virus strain USA/Oklahoma477/2014 from USA, complete genome
KR265832.1 Porcine epidemic diarrhea virus strain USA/Minnesota379/2014 from USA, complete genome
KR265831.1 Porcine epidemic diarrhea virus strain CAN/Quebec334/2014 from Canada, complete genome
KR265830.1 Porcine epidemic diarrhea virus strain USA/Ohio300/2014 from USA, complete genome
KR265829.1 Porcine epidemic diarrhea virus strain USA/Minnesota309/2014 from USA, complete genome
KR265828.1 Porcine epidemic diarrhea virus strain USA/Minnesota265/2014 from USA, complete genome
KR265827.1 Porcine epidemic diarrhea virus strain USA/Iowa303/2014 from USA, complete genome
KR265826.1 Porcine epidemic diarrhea virus strain USA/Illinois258/2014 from USA, complete genome
KR265825.1 Porcine epidemic diarrhea virus strain USA/Minnesota200/2014 from USA, complete genome
KR265824.1 Porcine epidemic diarrhea virus strain USA/Oklahoma471/2014 from USA, complete genome
KR265823.1 Porcine epidemic diarrhea virus strain USA/Colorado203/2014 from USA, complete genome
KR265822.1 Porcine epidemic diarrhea virus strain USA/Michigan252/2014 from USA, complete genome
KR265821.1 Porcine epidemic diarrhea virus strain USA/Missouri164/2014 from USA, complete genome
KR265820.1 Porcine epidemic diarrhea virus strain USA/Missouri337/2014 from USA, complete genome
KR265819.1 Porcine epidemic diarrhea virus strain USA/Kansas431/2014 from USA, complete genome
KR265818.1 Porcine epidemic diarrhea virus strain USA/Minnesota290/2014 from USA, complete genome
KR265817.1 Porcine epidemic diarrhea virus strain USA/Illinois256/2014 from USA, complete genome
KR265816.1 Porcine epidemic diarrhea virus strain USA/Minnesota202/2014 from USA, complete genome
KR265815.1 Porcine epidemic diarrhea virus strain USA/Illinois194/2014 from USA, complete genome
KR265814.1 Porcine epidemic diarrhea virus strain USA/Kansas166/2014 from USA, complete genome
KR265813.1 Porcine epidemic diarrhea virus strain USA/Minnesota271/2014 from USA, complete genome
KR265812.1 Porcine epidemic diarrhea virus strain USA/Colorado420/2014 from USA, complete genome
KR265811.1 Porcine epidemic diarrhea virus strain USA/SouthDakota336/2014 from USA, complete genome
KR265810.1 Porcine epidemic diarrhea virus strain USA/Oklahoma320/2014 from USA, complete genome
KR265809.1 Porcine epidemic diarrhea virus strain USA/Nebraska266/2014 from USA, complete genome
KR265808.1 Porcine epidemic diarrhea virus strain USA/Iowa162/2014 from USA, complete genome
KR265807.1 Porcine epidemic diarrhea virus strain USA/Michigan189/2014 from USA, complete genome
KR265806.1 Porcine epidemic diarrhea virus strain USA/Minnesota312/2014 from USA, complete genome
KR265805.1 Porcine epidemic diarrhea virus strain USA/Iowa161/2014 from USA, complete genome
KR265804.1 Porcine epidemic diarrhea virus strain USA/Illinois333/2014 from USA, complete genome
KR265803.1 Porcine epidemic diarrhea virus strain USA/Nebraska288/2014 from USA, complete genome
KR265802.1 Porcine epidemic diarrhea virus strain USA/Illinois260/2014 from USA, complete genome
KR265801.1 Porcine epidemic diarrhea virus strain USA/Indiana254/2014 from USA, complete genome
KR265800.1 Porcine epidemic diarrhea virus strain USA/Indiana195/2014 from USA, complete genome
KR265799.1 Porcine epidemic diarrhea virus strain USA/Minnesota159/2014 from USA, complete genome
KR265798.1 Porcine epidemic diarrhea virus strain USA/Minnesota289/2014 from USA, complete genome
KR265797.1 Porcine epidemic diarrhea virus strain USA/Kansas280/2014 from USA, complete genome
KR265796.1 Porcine epidemic diarrhea virus strain USA/Illinois262/2014 from USA, complete genome
KR265795.1 Porcine epidemic diarrhea virus strain USA/Illinois201/2014 from USA, complete genome
KR265794.1 Porcine epidemic diarrhea virus strain USA/Minnesota236/2014 from USA, complete genome
KR265793.1 Porcine epidemic diarrhea virus strain USA/Minnesota212/2014 from USA, complete genome
KR265792.1 Porcine epidemic diarrhea virus strain USA/Oklahoma418/2014 from USA, complete genome
KR265791.1 Porcine epidemic diarrhea virus strain USA/Kentucky291/2014 from USA, complete genome
KR265790.1 Porcine epidemic diarrhea virus strain USA/Texas424/2014 from USA, complete genome
KR265789.1 Porcine epidemic diarrhea virus strain USA/Illinois307/2014 from USA, complete genome
KR265788.1 Porcine epidemic diarrhea virus strain USA/Minnesota306/2014 from USA, complete genome
KR265787.1 Porcine epidemic diarrhea virus strain USA/SouthDakota285/2014 from USA, complete genome
KR265786.1 Porcine epidemic diarrhea virus strain USA/Illinois261/2014 from USA, complete genome
KR265785.1 Porcine epidemic diarrhea virus strain USA/Illinois259/2014 from USA, complete genome
KR265784.1 Porcine epidemic diarrhea virus strain USA/Nebraska348/2014 from USA, complete genome
KR265783.1 Porcine epidemic diarrhea virus strain USA/Minnesota269/2014 from USA, complete genome
KR265782.1 Porcine epidemic diarrhea virus strain USA/Illinois308/2014 from USA, complete genome
KR265781.1 Porcine epidemic diarrhea virus strain USA/Ohio295/2014 from USA, complete genome
KR265780.1 Porcine epidemic diarrhea virus strain USA/Ohio343/2014 from USA, complete genome
KR265779.1 Porcine epidemic diarrhea virus strain USA/Missouri177/2014 from USA, complete genome
KR265778.1 Porcine epidemic diarrhea virus strain USA/Minnesota276/2014 from USA, complete genome
KR265777.1 Porcine epidemic diarrhea virus strain USA/Kansas275/2014 from USA, complete genome
KR265776.1 Porcine epidemic diarrhea virus strain USA/Minnesota250/2014 from USA, complete genome
KR265775.1 Porcine epidemic diarrhea virus strain USA/Minnesota338/2014 from USA, complete genome
KR265774.1 Porcine epidemic diarrhea virus strain USA/SouthDakota371/2014 from USA, complete genome
KR265773.1 Porcine epidemic diarrhea virus strain USA/Minnesota281/2014 from USA, complete genome
KR265772.1 Porcine epidemic diarrhea virus strain USA/Kentucky248/2014 from USA, complete genome
KR265771.1 Porcine epidemic diarrhea virus strain USA/Minnesota402/2014 from USA, complete genome
KR265770.1 Porcine epidemic diarrhea virus strain USA/Illinois255/2014 from USA, complete genome
KR265769.1 Porcine epidemic diarrhea virus strain USA/Illinois197/2014 from USA, complete genome
KR265768.1 Porcine epidemic diarrhea virus strain USA/Minnesota179/2014 from USA, complete genome
KR265767.1 Porcine epidemic diarrhea virus strain USA/Kansas432/2014 from USA, complete genome
KR265766.1 Porcine epidemic diarrhea virus strain MEX/Mexico329/2014 from Mexico, complete genome
KR265765.1 Porcine epidemic diarrhea virus strain USA/Nebraska287/2014 from USA, complete genome
KR265764.1 Porcine epidemic diarrhea virus strain USA/Minnesota163/2014 from USA, complete genome
KR265763.1 Porcine epidemic diarrhea virus strain USA/Illinois176/2014 from USA, complete genome
KR265762.1 Porcine epidemic diarrhea virus strain USA/Oklahoma1/2015 from USA, complete genome
KR265761.1 Porcine epidemic diarrhea virus strain USA/Hawaii/2014 from USA, complete genome
KR265760.1 Porcine epidemic diarrhea virus strain USA/Minnesota211/2014 from USA, complete genome
KR265759.1 Porcine epidemic diarrhea virus strain USA/Minnesota187/2014 from USA, complete genome
KP641663.1 Porcine epidemic diarrhea virus strain OH9097-14, complete genome
KP641662.1 Porcine epidemic diarrhea virus strain OH8593-14, complete genome
KP641661.1 Porcine epidemic diarrhea virus strain OH10123-14, complete genome
KP403954.1 Porcine epidemic diarrhea virus strain Ukraine/Poltava01/2014, complete genome
